CMP	HSC	MEP	MPP	P1	P2	P3	P4	P5	P6	P7	P8
117	44	87	55	28	34	34	18	12	12	8	14
206	148	78	189	89	32	19	18	36	15	21	16
265	301	91	372	84	74	74	58	41	9	6	11
64	11	18	7	21	14	12	13	13	11	10	15
65	44	38	53	23	25	30	37	29	11	18	13
24	35	22	35	14	47	85	85	183	86	118	46
138	182	64	179	51	115	185	233	464	207	200	58
699	818	203	797	206	193	226	105	44	22	36	25
79	87	64	91	35	82	125	114	63	51	52	32
884	1021	733	1081	167	226	213	124	123	49	50	28
131	176	115	172	43	84	115	108	72	49	45	30
33	74	16	68	41	25	40	18	15	19	17	21
38	5	62	7	13	86	133	160	305	75	87	20
78	69	91	103	54	122	171	159	191	102	99	75
2	5	14	5	8	67	122	130	294	126	98	35
477	382	390	443	241	367	550	535	1024	491	1070	684
167	101	165	131	91	148	182	148	144	85	155	140
376	263	413	321	250	481	591	567	816	479	907	572
20	11	20	25	4	13	30	28	19	11	15	18
25	20	59	26	16	32	53	26	21	14	15	14
70	38	42	64	25	38	49	25	17	16	26	23
458	382	374	465	139	226	312	317	538	289	482	328
382	327	281	379	90	165	214	204	291	145	273	229
52	38	60	41	27	107	131	104	75	33	35	26
42	34	49	36	14	94	136	105	73	32	29	15
21	23	48	29	6	84	134	104	87	34	39	28
53	29	109	41	22	128	207	184	135	49	52	26
38	7	84	16	32	106	205	181	147	35	45	27
124	158	131	158	102	295	390	388	267	147	293	194
180	170	157	146	108	313	450	415	306	137	164	84
72	62	76	77	46	132	199	186	177	79	123	90
229	337	160	344	97	200	296	280	211	84	147	119
63	100	61	103	32	45	74	68	74	32	31	29
148	342	65	344	78	61	103	84	79	46	93	56
229	333	145	375	49	59	77	86	167	116	156	74
1	4	17	1	14	36	79	137	138	38	39	20
86	120	85	137	27	59	86	66	41	22	32	25
310	290	475	311	56	241	479	561	637	151	98	39
320	245	318	289	201	373	613	625	981	357	570	314
81	38	90	67	35	88	118	128	200	88	106	81
2	3	4	0	5	6	7	9	15	5	25	13
19	13	39	22	6	23	28	40	29	10	24	11
113	98	93	125	41	64	95	73	79	30	24	24
230	168	183	202	63	105	169	112	107	25	34	17
1	0	0	2	4	15	11	10	12	16	22	13
28	20	17	18	18	24	34	32	40	20	36	25
34	13	22	27	10	10	25	15	13	10	18	21
101	92	99	87	32	83	164	91	62	34	27	23
41	49	38	73	28	45	88	63	32	25	26	23
81	195	23	203	24	7	4	8	11	2	14	11
42	67	24	74	7	7	21	10	9	18	18	11
118	147	22	167	16	5	6	12	8	9	14	12
3	4	5	4	3	4	4	6	7	16	19	17
72	31	148	42	8	29	30	11	8	7	12	10
23	5	10	10	20	12	9	10	6	5	16	4
64	81	52	76	37	46	61	46	34	20	26	20
218	140	208	181	44	66	76	54	32	4	20	9
123	278	75	262	18	9	11	8	10	12	15	8
144	376	93	345	21	5	6	8	10	6	21	10
8	0	14	6	2	32	48	47	50	28	20	12
1	0	2	3	7	4	13	7	4	9	19	16
267	299	169	358	98	102	145	81	44	23	35	23
39	34	21	56	40	15	15	11	7	14	9	7
51	44	60	37	24	46	72	72	50	16	23	14
175	7	80	27	38	58	75	40	10	9	18	13
37	26	28	35	17	19	38	20	24	15	13	17
24	10	22	8	14	32	33	26	14	12	12	16
72	64	78	74	41	41	56	54	39	24	42	34
45	31	36	31	23	34	35	21	11	14	20	20
88	94	67	78	46	76	81	63	63	39	53	39
333	282	197	355	65	99	67	21	17	16	25	27
153	156	125	147	53	25	21	15	20	5	21	30
175	164	123	152	88	80	54	41	18	9	19	21
1	0	9	0	8	5	20	9	19	10	19	12
80	116	37	115	24	4	14	10	17	17	21	8
81	65	40	78	17	22	19	8	13	12	14	17
217	169	170	246	53	102	112	77	79	42	79	66
298	248	296	277	108	174	239	263	551	290	688	462
75	43	179	47	20	110	181	207	160	81	120	75
1	0	3	0	1	5	7	15	20	15	12	14
118	102	109	109	68	107	167	133	224	113	167	142
32	15	16	27	35	21	33	20	23	10	21	19
58	31	26	51	57	23	20	11	11	8	9	15
52	45	46	49	29	39	49	33	33	19	25	21
56	27	49	39	25	55	59	43	33	13	22	19
46	20	34	24	21	43	58	44	44	28	28	20
28	9	45	22	13	40	47	38	29	16	45	17
88	87	85	135	50	83	117	125	284	131	277	69
2	1	22	1	4	87	152	230	343	116	152	28
79	74	84	94	63	160	253	204	302	147	247	136
30	12	126	16	27	268	446	486	500	170	176	74
50	26	49	27	65	94	164	121	76	42	51	42
78	49	90	62	40	161	282	290	322	144	249	96
15	7	31	9	6	33	41	31	23	15	15	6
129	27	351	34	16	211	295	321	204	53	54	16
367	287	299	310	110	255	383	342	617	281	512	333
6	3	19	2	1	27	66	88	28	16	14	11
9	8	8	7	11	12	27	19	10	20	14	11
223	269	326	216	165	378	530	492	929	521	1069	609
6	3	10	0	8	29	48	28	17	17	22	11
248	113	332	153	41	82	97	49	15	8	16	14
113	46	73	53	23	19	15	8	4	8	15	8
154	110	167	100	37	54	47	33	25	20	39	28
172	166	166	230	80	218	320	311	336	146	316	240
675	698	523	750	242	547	830	762	1247	521	993	738
336	315	308	295	197	328	545	501	580	278	627	447
16	14	26	15	16	36	53	46	54	17	19	17
35	27	51	31	28	51	41	57	58	23	43	28
42	1	64	3	11	23	45	34	33	19	19	15
1	2	3	1	6	4	6	10	7	11	28	13
12	10	27	15	9	27	40	19	12	6	21	14
7	12	63	12	4	22	47	25	11	5	9	16
192	84	451	121	26	184	316	349	384	165	138	29
15	0	2	1	18	6	7	1	0	4	4	2
1	1	18	2	3	4	16	26	4	7	8	13
1	0	5	4	5	7	11	17	11	16	37	21
29	10	30	25	13	21	39	33	43	27	59	35
7	3	10	1	4	10	4	12	21	33	90	34
491	368	539	531	47	272	496	503	1257	676	1280	434
6	6	24	8	3	12	26	11	17	6	22	6
19	1	19	2	4	9	15	11	6	22	40	28
2	0	8	4	2	16	25	14	8	17	20	16
25	53	7	47	10	1	7	8	4	9	12	10
1	0	2	1	0	3	7	8	4	5	28	13
69	38	69	52	23	65	91	53	67	42	81	45
83	87	74	103	16	34	40	26	14	13	16	16
3	1	7	1	4	14	5	6	4	7	8	7
138	170	37	166	42	11	7	3	8	4	12	20
5	7	28	8	2	25	34	29	14	7	15	9
48	28	158	20	8	48	50	19	2	9	12	9
93	95	60	70	16	25	26	24	16	8	13	25
30	34	14	34	4	10	24	12	12	5	10	18
72	212	27	200	18	19	36	18	12	6	9	10
27	10	3	7	10	9	2	3	4	10	5	7
62	6	10	10	6	12	2	4	5	6	7	7
69	36	45	42	23	40	68	39	25	17	25	25
0	2	9	3	3	8	16	6	7	7	13	14
200	118	50	148	21	13	8	7	6	5	21	13
31	13	45	26	6	29	31	21	10	11	15	8
77	1	100	22	8	34	77	55	19	8	9	11
18	16	19	27	9	18	28	22	13	11	8	9
2	0	5	2	4	11	25	29	20	16	26	15
4	2	9	2	5	20	25	21	6	4	15	3
103	109	129	119	26	61	78	37	26	23	24	20
20	7	43	6	11	31	30	25	12	8	18	15
30	59	22	52	13	28	33	26	32	16	21	18
291	252	212	307	69	138	188	194	349	187	284	173
848	769	714	913	221	417	674	686	1360	636	1294	776
22	5	25	12	12	15	48	26	25	23	37	25
24	9	14	22	12	23	28	20	27	25	42	20
331	368	206	427	165	257	421	284	209	106	152	63
350	448	115	468	100	67	53	26	14	15	26	15
34	19	42	20	16	32	43	27	23	11	30	18
135	109	128	131	43	64	104	63	35	15	25	32
2	2	8	2	9	6	4	16	17	13	31	17
112	61	37	79	53	10	8	4	11	10	12	9
75	78	92	71	56	136	203	196	230	77	105	48
62	56	100	72	28	74	106	94	72	32	38	16
42	43	55	36	15	35	42	34	8	8	18	16
40	7	34	32	39	23	32	26	22	19	25	18
64	44	51	53	36	43	43	22	23	15	27	17
24	8	63	15	7	30	57	32	12	11	15	8
89	47	84	70	35	61	57	48	86	49	74	44
425	378	416	392	186	317	465	497	889	434	741	316
65	44	53	55	24	42	63	45	24	17	26	24
67	48	56	59	34	51	81	59	25	13	16	16
91	76	78	83	73	97	158	108	50	25	28	22
47	29	43	41	23	57	75	46	22	13	16	12
48	49	44	43	21	34	50	58	46	33	35	30
116	117	121	115	75	117	152	156	298	106	115	38
127	75	107	88	56	118	152	110	118	40	79	32
80	43	71	76	60	87	137	102	87	41	55	35
1	2	14	5	7	56	85	64	30	10	19	7
15	4	18	9	9	47	73	62	36	13	27	26
126	121	59	109	71	76	89	66	70	33	37	28
49	0	6	2	27	8	5	3	6	4	3	9
52	0	15	2	70	32	33	13	12	4	15	17
87	9	18	15	22	24	40	33	9	3	12	10
20	1	12	4	10	35	55	50	12	6	22	16
165	63	165	95	52	157	298	280	197	45	70	40
53	34	38	56	37	36	47	44	39	27	41	31
148	267	118	249	27	38	51	31	40	16	27	16
149	81	139	101	61	111	195	220	358	180	295	139
32	40	38	32	19	46	62	39	40	40	48	33
10	3	10	7	4	25	32	26	13	9	16	5
329	272	291	354	148	263	327	374	619	274	451	284
229	221	243	217	61	174	245	252	376	167	237	141
48	33	50	42	16	27	38	46	54	21	30	23
68	71	60	80	20	28	60	58	27	19	23	20
37	28	39	37	12	51	86	62	30	33	29	29
74	29	89	35	19	108	173	116	55	29	31	27
53	64	59	70	14	53	82	64	58	43	61	39
35	31	33	25	16	40	60	61	71	40	41	31
10	5	11	5	15	30	45	54	40	34	97	62
28	2	96	6	6	107	180	151	176	69	127	58
33	32	36	31	25	39	80	54	50	26	42	44
48	45	47	47	36	90	145	122	154	75	142	79
46	17	35	30	18	44	51	54	30	28	35	19
17	15	38	25	20	55	81	75	55	37	43	31
3	3	6	2	12	17	42	16	14	15	29	16
12	9	54	14	15	57	99	59	62	35	70	31
52	31	50	48	27	58	57	53	59	38	60	73
179	150	138	184	43	124	194	120	91	46	76	50
95	84	71	127	31	93	107	116	87	49	62	58
32	17	30	24	14	25	27	35	20	15	24	19
69	62	47	85	14	29	42	37	22	13	15	10
278	191	246	233	80	151	196	191	257	124	205	179
25	83	31	78	4	26	27	23	25	9	14	13
396	395	385	431	160	322	472	447	752	440	915	651
112	77	27	73	67	36	43	29	21	17	31	45
295	225	121	243	59	40	24	17	29	19	43	34
310	286	549	268	89	445	683	668	1222	635	1489	888
424	342	334	373	239	348	490	474	765	354	785	644
246	142	178	165	58	125	128	116	191	101	153	127
656	419	574	445	319	489	746	701	1439	714	1405	1098
231	178	167	200	74	130	169	186	238	121	223	203
141	122	114	135	40	64	60	75	82	53	87	76
61	37	88	41	21	45	71	81	82	64	126	78
27	1	14	0	31	13	6	9	10	6	9	14
5	0	36	5	7	45	132	177	203	63	55	19
54	2	531	8	21	419	701	835	1690	555	344	49
4	3	13	8	5	26	25	21	31	21	46	34
3	3	4	3	4	27	32	37	45	20	16	6
92	59	76	67	38	60	88	67	61	71	82	82
260	154	201	199	99	140	172	173	311	160	325	247
4	3	14	4	5	31	73	50	94	29	31	12
40	47	44	31	21	42	52	32	31	16	27	13
33	38	35	41	13	22	23	21	22	9	23	14
5	4	15	1	6	20	36	32	13	3	8	3
162	85	107	102	59	72	78	39	24	13	34	15
450	451	418	531	175	259	360	331	625	353	787	605
987	930	828	1105	301	484	824	761	1664	893	2162	1701
51	49	46	52	16	23	45	24	20	10	18	23
22	21	79	22	16	49	91	92	74	21	32	20
190	307	191	311	3	9	17	21	14	5	7	6
23	113	27	63	21	26	53	42	21	7	10	13
12	93	15	41	18	38	48	41	26	8	17	9
54	191	47	119	10	35	38	37	12	8	13	17
16	20	32	16	12	20	15	14	17	16	13	17
39	27	30	22	14	26	12	14	3	8	9	11
1	3	6	3	4	18	4	7	13	10	18	13
130	54	44	77	23	11	9	6	4	4	10	9
42	44	27	35	15	19	26	21	6	5	9	4
204	433	74	340	30	10	7	9	3	5	18	13
58	35	9	30	16	1	2	3	5	6	8	11
6	5	11	11	6	11	20	12	17	17	14	13
130	139	90	150	31	36	34	41	23	4	13	8
376	395	306	452	10	36	30	8	7	6	6	8
2	1	18	3	1	6	10	5	10	6	15	18
7	0	39	3	2	35	48	31	8	7	7	5
0	1	10	0	5	8	9	10	8	11	24	20
4	2	16	4	8	14	23	15	20	8	12	19
67	72	62	71	14	34	35	17	8	4	8	5
161	258	104	222	31	19	21	16	5	6	6	9
31	19	33	22	16	21	42	23	9	9	26	14
81	3	82	14	20	59	90	54	11	7	10	12
25	28	25	31	14	51	55	22	13	15	14	10
240	640	42	604	52	14	11	11	14	10	8	17
73	66	87	91	41	44	78	45	38	17	41	28
53	69	59	70	18	33	46	20	21	18	29	26
413	393	295	464	100	140	176	171	271	84	112	54
109	71	103	94	72	98	120	133	212	119	238	144
69	44	62	37	36	51	49	62	94	65	92	69
325	320	344	325	272	395	484	471	591	397	844	624
19	1	7	6	17	28	38	16	1	5	23	20
10	9	12	17	5	11	22	15	19	16	20	8
114	170	62	127	21	19	18	10	5	7	7	3
16	5	3	4	12	1	3	4	2	2	5	2
8	4	66	2	1	23	26	16	4	6	9	2
31	40	23	35	15	20	25	27	14	10	15	10
24	26	23	38	11	19	23	36	13	10	13	20
8	0	21	2	10	15	21	29	5	8	13	15
83	9	17	7	24	23	7	3	7	2	6	5
80	80	58	80	43	36	44	28	16	10	11	12
152	98	137	120	112	178	180	150	98	60	193	115
832	766	728	844	409	581	829	763	1366	788	1313	833
55	41	71	26	31	61	93	68	50	32	78	53
90	79	97	82	30	45	54	45	25	20	41	30
10	1	100	8	26	239	507	530	103	40	88	38
16	11	28	10	27	55	133	112	64	31	70	25
58	75	48	81	20	17	38	18	4	8	14	7
19	6	22	11	7	20	21	21	12	5	15	11
150	146	133	145	79	128	147	156	172	78	120	55
14	6	37	8	5	20	26	38	41	18	28	7
28	7	68	13	6	36	58	74	72	25	33	9
4	1	2	6	6	2	9	17	8	7	10	4
12	7	20	11	12	62	115	71	21	10	16	15
15	0	5	5	33	13	10	3	6	6	10	12
111	156	57	136	35	37	35	20	20	14	35	20
68	47	50	51	22	31	39	28	41	23	48	28
13	4	18	7	9	44	81	64	22	11	29	20
6	4	18	6	13	17	14	15	14	18	19	32
17	3	12	2	21	12	11	3	9	6	13	7
4	2	7	1	7	21	30	32	48	12	23	9
96	139	39	151	14	12	11	4	6	3	10	6
364	230	413	232	33	81	128	118	82	40	54	20
16	11	20	21	5	61	71	53	14	19	17	10
55	71	55	75	15	16	19	30	24	28	31	7
199	231	166	239	29	47	66	44	36	21	26	17
347	428	284	454	89	73	43	23	16	5	18	11
69	80	52	71	19	32	34	28	30	10	22	14
223	149	174	140	45	79	81	51	15	6	21	14
37	3	12	1	20	8	6	3	7	1	3	7
5	10	11	4	7	26	33	15	10	9	13	13
18	10	63	9	4	29	37	30	17	5	13	14
130	35	175	54	22	24	24	11	6	5	8	5
55	4	85	25	9	46	64	49	27	14	13	15
919	911	563	944	114	72	52	34	28	13	32	14
40	4	105	7	10	61	115	144	300	138	237	33
21	26	24	25	7	16	20	17	20	19	50	19
32	29	41	30	7	17	41	19	12	9	20	15
19	34	19	35	3	16	15	14	10	9	16	7
8	3	13	0	0	11	31	31	22	15	23	6
29	7	15	12	22	9	10	11	3	3	9	7
96	8	98	17	15	66	97	51	10	1	2	12
150	154	64	143	37	9	11	9	6	5	14	11
144	219	107	189	15	40	62	46	29	10	16	12
48	137	35	112	11	21	21	39	49	34	50	22
16	18	29	17	7	62	77	50	18	12	20	11
117	28	202	34	7	27	46	59	48	18	9	17
119	146	142	119	8	33	27	38	19	6	8	11
84	26	129	42	20	49	56	39	15	3	12	13
62	151	20	128	14	9	3	5	7	7	10	12
306	301	172	291	78	36	43	19	6	2	8	5
240	145	235	181	115	131	175	145	122	33	73	33
126	250	45	214	29	17	10	10	4	7	4	6
98	8	211	7	5	61	100	106	58	15	18	7
3	5	13	5	5	13	11	9	27	16	43	14
289	17	368	46	49	146	158	140	63	58	53	22
4	5	24	4	1	30	37	44	85	49	36	20
88	10	90	24	8	12	22	6	11	9	12	11
56	52	41	67	26	33	49	37	71	31	62	50
458	408	331	490	153	210	329	345	612	357	777	451
4	2	8	4	5	8	24	6	9	12	13	13
137	165	117	177	48	101	139	91	86	47	81	66
410	736	215	702	70	116	72	37	13	10	13	20
117	71	124	83	26	49	63	21	21	25	39	33
144	70	115	117	33	37	65	33	26	29	34	32
231	257	133	304	53	163	251	161	217	153	401	262
204	133	109	171	83	107	136	113	83	42	95	84
555	558	426	574	198	291	361	281	475	292	628	428
245	212	161	235	98	105	131	80	88	82	191	123
175	97	126	116	56	120	183	166	60	29	51	49
72	54	64	63	18	23	35	26	4	6	19	20
36	21	49	25	11	19	31	17	14	14	12	10
127	154	84	129	16	6	6	7	4	4	13	16
85	71	69	90	33	32	44	49	35	18	27	16
117	141	60	147	41	15	10	10	5	8	8	6
42	30	62	43	10	20	21	26	6	4	3	9
209	208	130	223	23	11	11	4	5	9	6	8
52	31	62	39	21	15	8	8	6	9	9	11
89	81	77	104	38	38	48	40	18	17	13	17
88	57	106	90	39	54	105	61	42	25	48	23
72	75	65	87	53	88	67	90	144	70	82	48
102	146	85	152	36	88	104	88	82	44	83	52
45	27	45	29	18	50	41	36	25	16	22	22
17	16	13	28	33	17	15	5	13	9	18	10
33	5	40	8	15	136	157	91	26	5	20	11
57	66	31	53	17	40	71	57	51	26	38	27
32	36	29	40	26	53	93	56	44	34	46	29
62	24	29	17	29	18	17	13	7	6	12	11
28	4	34	6	9	24	36	29	9	5	5	15
6	2	6	1	26	6	8	5	5	3	8	10
101	75	118	80	81	98	135	106	68	40	68	48
191	164	195	198	82	85	128	103	112	61	129	75
284	358	227	366	63	96	108	32	15	10	10	11
36	18	40	25	25	25	47	36	18	14	23	21
75	55	70	72	20	67	104	82	76	46	83	23
48	13	46	11	96	290	532	437	484	289	761	347
113	48	166	74	26	144	263	242	149	84	216	81
96	5	12	12	57	20	18	12	10	6	10	18
120	124	101	149	39	63	64	33	34	13	24	22
38	27	42	32	17	24	26	37	17	18	18	12
20	20	21	27	13	18	23	15	37	23	67	25
64	33	36	45	53	20	9	13	20	16	33	24
14	4	15	6	15	15	9	7	13	5	13	11
115	237	80	219	18	38	43	28	10	9	15	18
205	218	263	243	38	118	160	120	42	20	25	18
239	274	231	310	54	203	275	244	130	25	22	12
23	17	68	34	7	39	76	62	32	8	5	12
14	9	40	14	10	27	22	17	14	12	16	23
221	441	123	422	73	31	29	10	5	6	24	30
212	214	198	198	93	237	404	391	786	427	684	378
29	26	33	39	18	34	37	24	24	16	25	15
35	35	47	38	41	28	57	35	35	32	45	39
62	29	50	46	40	54	68	43	48	23	35	38
17	8	24	11	9	18	31	17	8	8	17	6
659	589	537	695	245	369	508	530	710	355	692	378
342	277	226	345	77	94	94	88	98	54	57	63
51	28	60	32	19	21	33	27	24	9	14	14
311	220	289	282	132	187	212	249	385	178	318	273
349	326	242	347	95	105	130	81	29	14	36	17
303	140	355	195	32	121	173	137	89	22	25	25
219	186	176	231	79	117	134	98	110	61	95	87
113	109	64	117	63	33	16	11	12	11	19	23
269	197	217	229	51	65	79	49	15	14	21	21
73	66	26	66	40	13	13	10	7	7	14	6
18	9	36	6	16	34	36	24	12	10	17	10
133	146	89	164	41	39	42	21	21	6	19	17
176	103	173	126	65	109	132	102	103	42	81	41
17	31	33	27	14	20	26	20	26	22	41	26
343	351	291	312	89	152	177	102	30	12	35	20
19	22	31	15	43	124	238	182	275	172	458	256
115	84	138	112	51	76	117	67	51	30	77	50
9	1	14	6	9	22	39	21	28	11	14	4
18	1	43	5	1	14	12	10	7	7	15	8
118	133	107	135	39	39	51	37	57	32	15	14
86	100	93	116	18	28	34	34	32	10	20	19
92	123	55	108	23	37	52	47	32	9	14	19
332	315	282	359	14	28	32	17	13	4	9	7
130	104	89	103	41	67	104	83	78	41	87	52
57	65	85	73	43	57	84	50	44	20	49	36
102	51	93	68	10	31	19	7	9	12	7	11
72	112	49	101	15	28	21	16	12	6	15	9
248	367	169	335	43	103	125	84	41	28	40	26
8	3	14	8	6	24	44	34	46	35	48	28
1270	1194	1099	1360	387	565	896	826	1584	803	1614	1193
284	218	277	238	112	226	278	274	330	154	369	276
271	324	255	328	57	113	136	99	80	34	113	76
568	486	541	571	245	477	626	632	1233	597	1242	844
